Posted Date,Payee,Address,Amount,Category
3/4/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-8.97,Grocery
3/6/2015,KFC U OF T TORONTO ON, ,-2.09,Food
3/9/2015,FOOD BASICS #653 SCARBOROUGH ON, ,-12.07,Grocery
3/10/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-18.98,Grocery
3/11/2015,SHELL SCARBOROUGH ON, ,-60,Gas
3/16/2015,SQ *MILLIE TORONTO ON, ,-7.63,Food
3/17/2015,MCDONALD'S #21873 QPS TORONTO ON, ,-3.23,Food
3/18/2015,THE O'CONNOR STATION EAST YORK ON, ,-27.29,Food
3/18/2015,AMAZON.CA PRIME MEMBER 877-586-3230 BC, ,-44.07,Technology
3/19/2015,DON VALLEY NORTH LE MARKHAM ON, ,-10.99,Automobile
3/20/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-67.4,Grocery
3/20/2015,LA PREP TORONTO ON, ,-7.1,Food
3/23/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-25.15,Grocery
3/23/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-32.6,Grocery
3/24/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-13.23,Grocery
3/24/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-1.75,Coffee
3/24/2015,PAYMENT, ,1190.88,Payment
3/25/2015,BANH MI BOYS TORONTO ON, ,-6.2,Food
3/30/2015,FALAFEL HOUSE TORONTO ON, ,-9.03,Food
3/30/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-35.93,Grocery
3/30/2015,TIM HORTONS 2326 QPS SCARBOROUGH ON, ,-4.94,Coffee
3/31/2015,OMI RESTAURANT SCARBOROUGH ON, ,-15.26,Food
4/1/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-1.75,Coffee
4/6/2015,CHIPOTLE MEXICAN GRILL TORONTO ON, ,-10.11,Food
4/6/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-35.14,Grocery
4/6/2015,SANSOTEI RAMEN TORONTO ON, ,-24.18,Food
4/6/2015,TORONTO PARKING AUTHOR TORONTO ON, ,-4.5,Parking
