Posted Date,Payee,Address,Amount
07/06/2015,"WESTJET 883821083344203 CALGARY AB"," ",-561.75
07/06/2015,"WESTJET 88382108334420 CALGARY AB"," ",561.75
07/06/2015,"PITA LAND SCARBOROUGH ON"," ",-12.42
07/06/2015,"WENDY'S RESTAURANT Q1R SCARBOROUGH ON"," ",-11.50
07/07/2015,"SHELL SCARBOROUGH ON"," ",-40.62
07/07/2015,"T&T SUPERMARKET #021 MARKHAM ON"," ",-73.23
07/13/2015,"GROUPON CANADA INC 877-788-7858 QC"," ",-16.80
07/13/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-3.15
07/13/2015,"TIM HORTONS 1950 QTH SCARBOROUGH ON"," ",-1.05
07/13/2015,"FLIGHT HUB CORNWALL ON"," ",-266.63
07/14/2015,"GNC #04110 SCARBOROUGH ON"," ",-90.39
07/14/2015,"SHELL SCARBOROUGH ON"," ",-50.00
07/14/2015,"AIR CAN 00149314071878 WINNIPEG MB"," ",-302.53
07/14/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-44.27
07/14/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-2.89
07/15/2015,"MTO RUS-SO TORONTO-LAW SCARBOROUGH ON"," ",-98.00
07/15/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-1.94
07/16/2015,"VITASAVE.CA 888-958-5405 BC"," ",-71.99
07/16/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-2.89
07/16/2015,"SNAP FITNESS INC. 09524745422 MN"," ",-11.87
07/20/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-9.75
07/20/2015,"PAYMENT"," ",379.37
07/21/2015,"GNC # 4166 SCARBOROUGH ON"," ",90.39
07/22/2015,"UBER HELP.UBER.COMNLD"," ",-17.98
07/22/2015,"PITA LAND SCARBOROUGH ON"," ",-12.70
07/22/2015,"750 LD PANORAMA HILLS CALGARY AB"," ",-48.91
07/22/2015,"KFC/TACO BELL SCARBOROUGH ON"," ",-10.16
07/23/2015,"SOMA CHOCOLATE LTD TORONTO ON"," ",-22.60
07/27/2015,"MARBLE SLAB CREAMERY CALGARY AB"," ",-5.19
07/27/2015,"ARBYS - CROSS IRON CALGARY AB"," ",-9.44
07/28/2015,"OLLIA MACARONS & TEA CALGARY AB"," ",-14.00
07/28/2015,"IMPARK00030371U CALGARY AB"," ",-2.10
07/29/2015,"CRU JUICE INC. CALGARY AB"," ",-11.65
07/29/2015,"CALGPARKAUTH 17650397 CALGARY AB"," ",-2.75
07/29/2015,"AI5-CHRIS JERK CARRIBE SCARBOROUGH ON"," ",-10.10
07/30/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-88.74
08/04/2015,"SPRING # 3057 SCARBOROUGH ON"," ",-54.24
08/04/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-24.92
08/04/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-2.33
08/04/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-7.84
08/04/2015,"COFFEE CULTURE SCARBOROUGH ON"," ",-2.89
