Posted Date,Payee,Address,Amount
11/05/2015,"BELL CANADA (OB) MONTREAL QC"," ",-45.14
11/06/2015,"CHIPOTLE MEXICAN GRILL TORONTO ON"," ",-22.32
11/06/2015,"LOBLAW MLG #1007 TORONTO ON"," ",-32.87
11/09/2015,"TIM HORTONS 2582 QTH TORONTO ON"," ",-2.54
11/09/2015,"NYST PEMBROKE PLAZA CORFU NY"," ",-3.92
11/10/2015,"ROY ROGERS NY 12482154 PATTERSONVILLNY"," ",-21.13
11/12/2015,"MCDONALD'S #40050 Q04 SCARBOROUGH ON"," ",-3.14
11/12/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-45.56
11/16/2015,"FRESH OFF THE BOAT TORONTO ON"," ",-34.92
11/16/2015,"NOHOHON TEA ROOM TORONTO ON"," ",-10.96
11/16/2015,"JOEY EATON CENTRE TORONTO ON"," ",-45.81
11/16/2015,"ST. LOUIS BAR & GRILL TORONTO ON"," ",-15.24
11/16/2015,"WILD WING - YONGE ST. TORONTO ON"," ",-29.19
11/17/2015,"STARBUCKS 03896 TORONTO ON"," ",-0.23
11/17/2015,"TIM HORTONS 2253 QTH TORONTO ON"," ",-13.19
11/17/2015,"SHELL SCARBOROUGH ON"," ",-53.60
11/18/2015,"METRO #63 TORONTO ON"," ",-10.72
11/18/2015,"FRAN'S RESTAURANT TORONTO ON"," ",-35.40
11/20/2015,"RCSS SCARBOROUGH #2809 SCARBOROUGH ON"," ",-56.43
11/23/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-4.00
11/23/2015,"GREEN TEA LOUNGE MARKHAM ON"," ",-30.58
11/23/2015,"BRICK STREET BAKERY DI TORONTO ON"," ",-5.50
11/24/2015,"SHARE TEA RICHMOND HILLON"," ",-7.49
11/24/2015,"PAYMENT"," ",422.95
11/25/2015,"SHELL MISSISSAUGA ON"," ",-58.51
11/25/2015,"STAPLES STORE #127 SCARBOROUGH ON"," ",-296.03
11/25/2015,"BURGER KING #5516 Q07 MISSISSAUGA ON"," ",-8.91
11/25/2015,"RCSS SCARBOROUGH #2809 SCARBOROUGH ON"," ",-57.44
11/27/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-5.00
11/30/2015,"THE BURGER'S PRIEST TORONTO ON"," ",-11.29
11/30/2015,"WAL-MART ECOMM #8514 MISSISSAUGA ON"," ",-42.80
11/30/2015,"TIM HORTONS #5840 TORONTO ON"," ",-2.54
11/30/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-4.00
11/30/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-15.32
11/30/2015,"YOGEN FRUZ EATON CTR TORONTO ON"," ",-5.65
11/30/2015,"MANPUKU TORONTO ON"," ",-39.35
11/30/2015,"T&T SUPERMARKET #016 TORONTO ON"," ",-31.20
11/30/2015,"MOO MILK BAR TORONTO ON"," ",-6.99
11/30/2015,"DELINA TORONTO ON"," ",-25.99
11/30/2015,"CREPE DELICIOUS EATON TORONTO ON"," ",-9.66
11/30/2015,"CREPE DELICIOUS EATON TORONTO ON"," ",-10.45
11/30/2015,"SQ *BANGBANG ICE CREAM TORONTO ON"," ",-7.05
12/01/2015,"BELL CANADA (OB) MONTREAL QC"," ",-45.14
12/01/2015,"WVRST TORONTO ON"," ",-23.73
