Posted Date,Payee,Address,Amount
12/07/2015,"HAN BA TANG RESTAURANT NORTH YORK ON"," ",-79.27
12/07/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-4.00
12/07/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-48.17
12/08/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-8.20
12/09/2015,"SHELL SCARBOROUGH ON"," ",-64.41
12/10/2015,"PAYMENT"," ",1236.93
12/14/2015,"PARKWHIZ INC. 8884727594 IL"," ",-70.28
12/14/2015,"TELECHARGE SVCE 08005434835 NY"," ",-196.44
12/14/2015,"RCSS SCARBOROUGH #2809 SCARBOROUGH ON"," ",-69.44
12/14/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-3.00
12/14/2015,"TORONTO PARKING AUTHOR TORONTO ON"," ",-4.00
12/18/2015,"MARKVILLE TOYOTA MARKHAM ON"," ",-9.30
12/18/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-7.97
12/21/2015,"PARKWHIZ INC. 8884727594 IL"," ",71.75
12/21/2015,"MCDONALD'S #40050 Q04 SCARBOROUGH ON"," ",-3.23
12/21/2015,"MCDONALD'S #40050 Q04 SCARBOROUGH ON"," ",-1.57
12/21/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-48.24
12/21/2015,"MALL AIR 83876443763556 08889378538 CT"," ",-166.28
12/21/2015,"MALL AIR 83876443763560 08889378538 CT"," ",-166.28
12/21/2015,"CHATIME TORONTO ON"," ",-10.38
12/23/2015,"SECOND CUP 9433 MISSISSAUGA ON"," ",-1.89
12/24/2015,"SUNRISE CARIBBEAN REST MISSISSAUGA ON"," ",-6.05
12/24/2015,"BANH MI BOYS TORONTO ON"," ",-9.04
12/24/2015,"GINGER TORONTO ON"," ",-9.14
12/24/2015,"OSMOW'S GRILL SCARBOROUGH ON"," ",-8.26
12/29/2015,"GROUPON INC 877-788-7858 IL"," ",-56.74
12/29/2015,"MTA MVM*LGA03-LGA AQPS NEW YORK NY"," ",-9.95
12/29/2015,"MTA MVM*LGA03-LGA AQPS NEW YORK NY"," ",-9.95
12/29/2015,"FRESHIIS MISSISSAUGA ON"," ",-21.99
12/29/2015,"BURGER & LOBSTER NEW YORK NY"," ",-71.25
12/30/2015,"MTA MVM*R110-WALL SQPS NEW YORK NY"," ",-4.28
12/30/2015,"FIT FOR LIFE - TTC DUN TORONTO ON"," ",-5.65
12/31/2015,"CDN TIRE STORE #00600 TORONTO ON"," ",-5.41
12/31/2015,"T&T SUPERMARKET #022 UNIONVILLE ON"," ",-70.92
01/04/2016,"ALI BABA'S RESTAURANT TORONTO ON"," ",-10.50
01/04/2016,"SZECHUAN EXPRESS TORONTO ON"," ",-12.42
01/04/2016,"TORONTO PARKING AUTHOR TORONTO ON"," ",-2.75
01/04/2016,"CHATIME - ANNEX TORONTO ON"," ",-11.53
