Posted Date,Payee,Address,Amount
06/04/2015,"COBS BREAD # 9306 TORONTO ON"," ",-8.18
06/08/2015,"KFC U OF T TORONTO ON"," ",-8.46
06/08/2015,"WHOLE FOODS MARKET TORONTO ON"," ",-2.19
06/08/2015,"SEVEN GRAMS ESPRESSO B TORONTO ON"," ",-5.48
06/08/2015,"MCDONALD'S #8562 Q04 TORONTO ON"," ",-9.93
06/08/2015,"TIM HORTONS 2326 QPS SCARBOROUGH ON"," ",-1.05
06/09/2015,"AMAYA EXPRESS TORONTO ON"," ",-8.46
06/09/2015,"MCDONALD'S #29150 QPS TORONTO ON"," ",-1.13
06/10/2015,"ROASTY JACK TORONTO ON"," ",-7.56
06/12/2015,"MCDONALD'S #40437 TORONTO ON"," ",-3.39
06/12/2015,"GROUPON CANADA INC 877-788-7858 QC"," ",-22.00
06/12/2015,"SKYLON FOOD SERVICE NIAGARA FALLSON"," ",-5.74
06/15/2015,"GROUPON CANADA INC 877-788-7858 QC"," ",-4.00
06/15/2015,"PARKING PPL TORONTO ON"," ",-6.00
06/15/2015,"FIVE GUYS BURGERS FRI MISSISSAUGA ON"," ",-12.29
06/16/2015,"ALI BABA'S RESTAURANT TORONTO ON"," ",-7.55
06/19/2015,"ESSO SCARBOROUGH ON"," ",-14.68
06/19/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-52.80
06/22/2015,"TIM HORTONS 0451 QPS TORONTO ON"," ",-2.09
06/22/2015,"TIM HORTONS 0451 QPS TORONTO ON"," ",-2.50
06/22/2015,"GODADDY.COM CANADA 480-5058855 BC"," ",-1.24
06/22/2015,"U OF T GERSTEIN #3654 TORONTO ON"," ",-5.64
06/22/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-32.18
06/23/2015,"TIM HORTONS 0451 QPS TORONTO ON"," ",-3.08
06/25/2015,"PAYMENT"," ",477.08
06/26/2015,"THE WAVE SCARBOROUGH ON"," ",-9.61
06/26/2015,"BURGER KING #12099 Q07 TORONTO ON"," ",-9.36
06/26/2015,"BURGER KING #12099 Q07 TORONTO ON"," ",-1.05
06/29/2015,"MCDONALD'S #26026 Q04 SCARBOROUGH ON"," ",-1.13
06/29/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-43.19
06/29/2015,"MCDONALD'S #10105 MISSISSAUGA ON"," ",-15.67
06/29/2015,"PARKING PPL TORONTO ON"," ",-6.00
06/30/2015,"SHELL SCARBOROUGH ON"," ",-45.98
07/02/2015,"THE BURGER'S PRIEST MISSISSAUGA ON"," ",-18.26
07/02/2015,"TIM HORTONS 1712 QTH MISSISSAUGA ON"," ",-1.50
