Posted Date,Payee,Address,Amount,Category
4/7/2015,SASSAFRAZ TORONTO ON, ,-21.1,Food
4/7/2015,SHELL TORONTO ON, ,-69.17,Gas
4/7/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-1.75,Coffee
4/9/2015,MANCHU WOK # 2685 TORONTO ON, ,-9.36,Food
4/10/2015,GODADDY.COM CANADA 480-5058855 BC, ,-10.73,Technology
4/13/2015,MCDONALD'S #40050 Q04 SCARBOROUGH ON, ,-12.29,Food
4/13/2015,HERO UTSC SCARBOROUGH ON, ,-9.66,Food
4/14/2015,ALI BABA'S RESTAURANT TORONTO ON, ,-7.9,Food
4/15/2015,U OF T - SCARBOROUGH # SCARBOROUGH ON, ,-7.4,Food
4/15/2015,U OF T - SCARBOROUG SCARBOROUGH ON, ,-9.03,Food
4/16/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-54.31,Grocery
4/17/2015,HOSTGATOR 7135745287 TX, ,-11.52,Technology
4/17/2015,HOSTGATOR.COM 08669642867 TX, ,11.31,Technology
4/20/2015,PARKING PPL TORONTO ON, ,-5,Parking
4/20/2015,VIVATK102122519807 WWW SANT'AGATA SUITA, ,-68.09,Invalid
4/21/2015,WENDY'S RESTAURANT Q1R SCARBOROUGH ON, ,-10.49,Food
4/21/2015,TIM HORTONS 2326 QPS SCARBOROUGH ON, ,-4.66,Coffee
4/22/2015,LA PREP TORONTO ON, ,-3.77,Food
4/23/2015,POPEYES CHICKEN & SEAF SCARBOROUGH ON, ,-9.36,Food
4/23/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-1.75,Coffee
4/24/2015,NEW GLOBUS VIAGGI SRL FIRENZE FI, ,-62.58,Travel
4/24/2015,SECOND CUP 9169 TORONTO ON, ,-2.78,Coffee
4/24/2015,IT.GRANDEMUSEODELDUOMO PRATO ITA, ,-27.21,Travel
4/27/2015,MCDONALD'S #40437 TORONTO ON, ,-5.06,Food
4/27/2015,SECOND CUP 9169 TORONTO ON, ,-5.09,Coffee
4/27/2015,RITZ CARIBBEAN FOODS TORONTO ON, ,-12.49,Food
4/27/2015,SOBEYS 691 TORONTO ON, ,-0.14,Grocery
4/27/2015,PARKING PPL TORONTO ON, ,-6,Parking
4/27/2015,SECOND CUP 9169 TORONTO ON, ,-3.31,Coffee
4/27/2015,5 STARS SHAWARMA MISSISSAUGA ON, ,-11.29,Food
4/28/2015,BIGLIETTERIAMUSEI.VATI CITTà DEL VAT, ,-54.54,Travel
4/28/2015,SOCIETA' COOPERATIVA C MARGHERA, ,-38.17,Travel
4/29/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-1.75,Coffee
4/29/2015,PAYMENT, ,489.59,Payment
4/30/2015,SHELL SCARBOROUGH ON, ,-41.16,Gas
4/30/2015,ROASTY JACK TORONTO ON, ,-7.56,Food
5/1/2015,MCDONALD'S #22743 Q04 TORONTO ON, ,-5.29,Food
5/1/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-2.1,coffee
5/4/2015,TIM HORTONS 0788 QTH TORONTO ON, ,-2.85,Coffee
5/4/2015,SWISS CHALET 1921 QPS SCARBOROUGH ON, ,-6.78,Food
5/4/2015,JFK2 SHAKE SHACK B23 JAMAICA NY, ,-22.95,Food
