Posted Date,Payee,Address,Amount
10/06/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-41.09
10/08/2015,"PEOPLES JEWELLERS #519 TORONTO ON"," ",-179.77
10/09/2015,"WAL-MART # 3111 SCARBOROUGH ON"," ",-7.41
10/13/2015,"BELL CANADA (OB) MONTREAL QC"," ",-45.14
10/13/2015,"SHELL SCARBOROUGH ON"," ",-50.00
10/13/2015,"MAKKAL CHON SCARBOROUGH ON"," ",-35.06
10/13/2015,"PAT MART EAST TORONTO ON"," ",-16.12
10/13/2015,"SHARE TEA RICHMOND HILLON"," ",-1.93
10/13/2015,"WMT SUPRCTR #1116 RICHMOND HILLON"," ",-3.47
10/13/2015,"KAKA JAPANESE RESTAURA MARKHAM ON"," ",-80.55
10/14/2015,"RCSS SCARBOROUGH #2809 SCARBOROUGH ON"," ",-3.10
10/14/2015,"EROSNOW LONDON GBR"," ",-6.41
10/15/2015,"SHOPPERSDRUGMART0943 TORONTO ON"," ",-3.38
10/15/2015,"WPCHRG.COM 8772733049 CA"," ",-24.03
10/15/2015,"WPCHRG.COM 8772733049 CA"," ",-24.03
10/15/2015,"WPCHRG.COM 8772733049 CA"," ",-24.03
10/15/2015,"WPCHRG.COM 8772733049 CA"," ",-24.03
10/15/2015,"SLICKWRAPS 8665154199 KS"," ",-103.16
10/15/2015,"SLICKWRAPS 8665154199 KS"," ",103.16
10/16/2015,"WPCHRG.COM 8772733049 CA"," ",23.89
10/16/2015,"WPCHRG.COM 8772733049 CA"," ",23.89
10/16/2015,"WPCHRG.COM 8772733049 CA"," ",23.89
10/16/2015,"WPCHRG.COM 8772733049 CA"," ",23.89
10/19/2015,"FRAUD ADJUSTMENT"," ",103.16
10/19/2015,"FRAUD ADJUSTMENT"," ",24.03
10/19/2015,"FRAUD ADJUSTMENT"," ",24.03
10/19/2015,"FRAUD ADJUSTMENT"," ",24.03
10/19/2015,"FRAUD ADJUSTMENT"," ",24.03
10/19/2015,"FRAUD ADJUSTMENT"," ",6.41
10/20/2015,"PURCHASE ADJUSTMENT"," ",-23.89
10/20/2015,"PURCHASE ADJUSTMENT"," ",-23.89
10/20/2015,"PURCHASE ADJUSTMENT"," ",-23.89
10/20/2015,"PURCHASE ADJUSTMENT"," ",-23.89
10/20/2015,"PURCHASE ADJUSTMENT"," ",-103.16
10/26/2015,"AMAZON.CA PRIME MEMBER 877-586-3230 BC"," ",44.07
10/27/2015,"PAYMENT"," ",836.56
