Posted Date,Payee,Address,Amount,Category
9/4/2015,GROUPON CANADA INC 877-788-7858 QC, ,20,Groupon
9/4/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-22.54,Grocery
9/8/2015,KEKOU TORONTO ON, ,-3.94,Food
9/8/2015,MCDONALD'S #8197 Q04 TORONTO ON, ,-2.51,Food
9/8/2015,LICK IT GELATO TORONTO ON, ,-5.59,Food
9/8/2015,STE ANNE'S SPA GRAFTON ON, ,-701.74,Travel
9/8/2015,WAL-MART #3133 COBOURG ON, ,-34.74,Grocery
9/8/2015,QUEENS QUAY TORONTO ON, ,-15,Invalid
9/8/2015,MAKKAL CHON SCARBOROUGH ON, ,-29.87,Food
9/9/2015,SHELL SCARBOROUGH ON, ,-66.48,Gas
9/10/2015,PITA LAND KINGSTON SCARBOROUGH ON, ,-12.42,Food
9/10/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-44.61,Grocery
9/11/2015,STE ANNE'S SPA GRAFTON ON, ,700,Travel
9/14/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-44.61,Grocery
9/14/2015,TORONTO PARKING AUTHOR TORONTO ON, ,-3.75,Parking
9/14/2015,BAR ISABEL TORONTO ON, ,-122.15,Food
9/15/2015,GROUPON CANADA INC 877-788-7858 QC, ,-20.95,Groupon
9/16/2015,SHELL SCARBOROUGH ON, ,-50,Gas
9/16/2015,RITZ CARIBBEAN FOODS SCARBOROUGH ON, ,-10.18,food
9/16/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-34.01,Grocery
9/18/2015,T&T SUPERMARKET #011 MARKHAM ON, ,-53.43,Grocery
9/21/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-52.72,Grocery
9/21/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-15.97,Grocery
9/24/2015,PAYMENT, ,843.77,Payment
9/28/2015,PITA LAND KINGSTON SCARBOROUGH ON, ,-12.42,Food
9/28/2015,CHATIME TORONTO ON, ,-5.31,Food
9/28/2015,RED LOBSTER 8176 TORONTO ON, ,-14.68,Food
9/28/2015,T&T SUPERMARKET #016 TORONTO ON, ,-12.66,Grocery
9/29/2015,SHELL SCARBOROUGH ON, ,-50,Gas
9/30/2015,WAL-MART # 3111 SCARBOROUGH ON, ,-48.71,Grocery
10/5/2015,MCDONALD'S #40437 TORONTO ON, ,-2.92,Food
10/5/2015,TIM HORTONS 3297 QPS TORONTO ON, ,-4.19,Coffee
10/5/2015,ALI BABA'S RESTAURANT TORONTO ON, ,-12.42,Food
10/5/2015,T&T SUPERMARKET #016 TORONTO ON, ,-46.04,Grocery
